Player,Team,Position,Minutes,Shots,Goals,npxG,Margin,Placement,Residual,Qualified
Ella Hase,LOU,W,1161.0,12.0,0.0,0.957,-0.957,-0.712,-0.245,true
Quincy McMahon,LOU,FB,1280.0,10.0,0.0,0.959,-0.959,-0.193,-0.766,true
Ally Schlegel,NC,W,838.0,18.0,3.0,3.977,-0.977,-0.661,-0.316,true
Ryan Gareis,CHI,W,1032.0,13.0,0.0,0.986,-0.986,-0.187,-0.799,true
Brianna Pinto,CHI,ST,1359.0,12.0,0.0,0.999,-0.999,-0.833,-0.166,true
Érica Parkinson,NC,AM,799.0,15.0,0.0,1.003,-1.003,-0.461,-0.541,true
Ally Lemos,ORL,DM,1909.0,22.0,0.0,1.003,-1.003,-0.552,-0.451,true
Haley McCutcheon,ORL,DM,2155.0,32.0,3.0,4.022,-1.022,0.417,-1.439,true
Jaelin Howell,NJY,DM,2289.0,20.0,0.0,1.031,-1.031,0.44,-1.471,true
Racheal Kundananji,BAY,W,882.0,23.0,2.0,3.048,-1.048,-0.542,-0.506,true
Carina Lageyre,LA,DM,1373.0,16.0,0.0,1.13,-1.13,-0.816,-0.314,true
Ainsley Mccammon,SEA,DM,1574.0,22.0,0.0,1.212,-1.212,-0.634,-0.578,true
Avery Patterson,HOU,FB,2065.0,25.0,0.0,1.268,-1.268,-1.152,-0.117,true
Maycee Bell,NC,CB,1609.0,14.0,0.0,1.269,-1.269,-0.501,-0.768,true
Shinomi Koyama,NC,DM,2226.0,19.0,0.0,1.296,-1.296,0.448,-1.744,true
Madeline Dahlien,SEA,W,1542.0,37.0,3.0,4.331,-1.331,0.372,-1.703,true
Claudia Martínez,WAS,W,712.0,24.0,3.0,4.373,-1.373,-1.029,-0.344,true
Kiana Palacios,UTA,ST,1502.0,27.0,3.0,4.416,-1.415,-0.343,-1.073,true
Ana Tejada,UTA,DM,1752.0,31.0,0.0,1.422,-1.422,0.12,-1.542,true
Rosemonde Kouassi,WAS,W,1184.0,10.0,0.0,1.483,-1.483,-0.812,-0.671,true
Gabi Portilho,SD,W,814.0,16.0,0.0,1.571,-1.571,-0.412,-1.159,true
Alexandra Pfeiffer,BAY,W,1023.0,34.0,2.0,3.574,-1.574,-0.509,-1.066,true
Debinha,KC,AM,1218.0,33.0,4.0,5.62,-1.62,-0.714,-0.907,true
Amanda Santos,BOS,ST,1194.0,35.0,2.0,3.646,-1.646,-2.173,0.527,true
Ally Sentnor,KC,ST,2079.0,64.0,4.0,5.683,-1.683,-2.113,0.429,true
Riley Jackson,NC,CM,1928.0,26.0,0.0,1.696,-1.696,-0.523,-1.173,true
Ally Brazier,DEN,W,763.0,21.0,1.0,2.829,-1.829,-1.679,-0.15,true
Esther González,NJY,ST,1357.0,37.0,4.0,5.892,-1.891,-0.105,-1.786,true
Claire Hutton,BAY,DM,2139.0,24.0,0.0,1.954,-1.954,-0.405,-1.548,true
Taylor Suarez,LA,W,1132.0,23.0,1.0,3.085,-2.085,-0.543,-1.543,true
Solai Washington,ORL,W,1019.0,24.0,0.0,2.22,-2.22,-0.002,-2.218,true
Sam Kerr,NJY,ST,728.0,29.0,3.0,5.221,-2.221,-0.457,-1.764,true
Mia Fishel,SEA,ST,1193.0,27.0,2.0,4.448,-2.448,-1.312,-1.135,true
Aissata Traore,BOS,ST,1620.0,51.0,6.0,8.448,-2.448,-0.705,-1.743,true
Croix Bethune,KC,AM,2015.0,47.0,4.0,6.512,-2.512,0.201,-2.713,true
Gia Corley,SD,CM,1191.0,25.0,0.0,2.566,-2.566,-0.995,-1.571,true
Jordynn Dudley,NJY,W,1722.0,46.0,3.0,5.703,-2.703,1.176,-3.879,true
Cece Delzer,UTA,W,1680.0,39.0,3.0,5.949,-2.949,-2.095,-0.855,true
Ludmila,SD,ST,1656.0,50.0,2.0,6.688,-4.688,-2.558,-2.13,true
