player,team,team_games,minutes,position,np_shots,np_goals,npxg,np_xplace,xassists
Shinomi Koyama,NC,22,2226,DM,19,0,1.2961,0.448,2.6244
Dorian Bailey,BAY,21,766,AM,7,2,0.6527,0.0699,0.3675
Prisca Chilufya,LA,21,635,ST,18,4,2.824,-0.6386,1.4895
Elizabeth Ball,KC,23,1548,CB,4,0,0.2878,-0.2878,0
Sarah Puntigam,HOU,22,682,DM,6,0,0.3816,0.3025,0.2724
Ellie Jean,LOU,22,1630,CB,3,0,0.0546,-0.0162,0.3743
Gabrielle Robinson,KC,23,1658,CB,4,0,0.3312,-0.2037,0.0937
Leah Klenke,HOU,22,2187,CB,13,0,0.8226,0.3151,0.6241
Eva Gaetino,DEN,21,1512,CB,5,1,0.962,0.0084,0.2239
Rebeca Bernal,WAS,22,1622,DM,16,3,1.8474,0.7476,0.5259
Perle Morroni,SD,22,2036,FB,10,0,0.6386,-0.4221,1.3393
Anna Moorhouse,ORL,22,2057,GK,0,0,0,0,0
Reyna Reyes,POR,22,1293,FB,4,0,1.0643,-0.162,0.1637
Dani Weatherholt,NC,22,1239,FB,4,1,0.9498,0.1588,0.0632
Ary Borges,LA,21,1889,DM,27,2,2.2056,-0.6035,1.0439
Elaine Rouse,KC,23,1111,FB,1,0,0.0375,-0.0375,0.3702
Julia Grosso,CHI,22,1337,AM,14,2,1.114,1.0274,1.1395
Kimmi Ascanio,SD,22,1639,DM,18,1,1.8048,0.0784,1.8808
